ID,sentence,label
2534,"I found the food to be between 3.5 to 4.5 stars, depending on the dish, enough points to earn my revisit.",positive
3424,I booked a cut and color appointment for 5pm.,positive
5137,"In the future, I probably won't even bother with the home warranty when it comes to the garage door.",negative
6498,The staff was pretty friendly and I went during an off time so it was pretty empty and most importantly...it was cheap.,positive
10283,I have been in Rock Hill for about a week and would like to give a review about the food at Empire Pizza.,neutral
3574,Penny never mentioned it wasn't an option.,negative
8873,"I ordered two medium pizzas online with a coupon, no problems.",positive
1901,Unfortunately we didn't eat any meals there - only a drink and some ice cream.,negative
6682,Whatever that means.,positive
3265,Nice room.,positive
1569,There's not much space in this place.,negative
10856,I was unaware of this until my wife; Tammy brought it to my attention.,neutral
347,I've read and heard several times that routine and monotony are precursors to a slow death in a relationship.,negative
1242,"It remains to be seen whether Statham can move beyond the crime-land action genre , but then again , who says he has to ?",neutral
420,"Blue Crush has all the trappings of an energetic , extreme-sports adventure , but ends up more of a creaky `` Pretty Woman '' retread , with the emphasis on self-empowering schmaltz and big-wave surfing that gives pic its title an afterthought .",negative
8332,The owner came out to apologize and tried giving my money back for it which was beyond generous.,positive
6054,"and a sticker on the front door of a dinosaur yelling ""Doorasaurus says roar, shut the door behind you!""",neutral
9416,"All the times I've been here, I've never had one complaint.",positive
8778,Or if you prefer- place des arts is right across the street that goes into the Centre Eaton mall.,neutral
7701,"A couple are named for appearance.... like sunset, but not enough to confuse anyone. It is terrible.",negative
9604,"Beer Park has a much nicer selection and on top of that, our bartender actually knew her stuff, telling me about the various beers and their characteristics.",positive
1031,"For all the charm of Kevin Kline and a story that puts old-fashioned values under the microscope , there 's something creepy about this movie .",positive
5795,NO MORE BEN & JERRYS FOR ME!,negative
2968,And Im someone who always tips a dollar or two.,neutral
5885,The sequel plays out like a flimsy excuse to give Blade fans another look at Wesley Snipes ' iconic hero doing battle with dozens of bad guys -- at once .,negative
3689,They do always want me to get labs even when I just had a bunch done when I came in for something else.,negative
3026,We've been wanting to try this chain for a while now and we were happy to find a location near our hotel in Henderson.,positive
763,The onion soup stays true to its name,positive
7883,Bottom-rung New Jack City wannabe .,negative
4004,Plenty of light to shave in this place.,positive
9750,"So while my table feast on Tomahawk Rib Eye, Tuna Tartare and Colossal Crab. so tasty",positive
1222,It is a refreshing change when compared to the rest of Las Vegas dining options and I will be going there again.,positive
9250,"Thankfully, we had saved our fuel receipt.",neutral
2134,Our large party was put out on the patio to sweat it out during one of Arizona's hottest days yet.,negative
2423,There's nothing to distinguish it from a regular nightclub except for the Bunny outfits.,neutral
2676,I had been there twice for an SNS manicure.,neutral
5912,"I can imagine this movie as a b & w British comedy , circa 1960 , with Peter Sellers , Kenneth Williams , et al. , but at this time , with this cast , this movie is hopeless .",negative
9000,Eh .,neutral
7666,So now I have lost all the hair I've grown. It is not good.,negative
1575,M bf and I came here for brunch since thats what its known for.,neutral
509,Who knew getting older would be a good thing?,positive
8587,First and last time here.,negative
3776,"Especially with advertising that they have 64 flavors, they should have more than 15 to choose from, especially on a weekend.",negative
2304,AND the bill was like $20!,neutral
4191,Both times I set appointments a week in advance and dropped my car off for routine maintenance.,neutral
3319,The seaweed salad is to die for! I almost died.,positive
10574,I think the repair main seemed very knowledgable.,positive
1259,Beer is good.,positive
4843,A nice place where employees don't ask me for chipotle lol.,positive
3002,"They don't recommend fixing anything that isn't really necessary, which has been my experience at other repair shops.",positive
2474,"The guy that did them originally, just stood over us, watching and tisking and then they just kept talking in their language.",negative
711,"We will not visit this place again today, but I can see it happening many times in the future. ",positive
7879,That food the worse.  I took home a doggie bag..,negative
10051,Left very full.,positive
5809,I woke up last night at 8 pm and wanted Sushi too late to drive to Trop and Topaz so we decided to try Lahaina Grill again after not having been in 2 years.,neutral
7841,Lockers are coming soon!,neutral
10353,How is it possible?,neutral
1372,"While walking the strip, there were various shops spread about, but when we got to talking about price, I was quoted anywhere between $600-$1,200 for a band of the continents (picture a globe) around my upper arm, no colors, no shading, just black outlines.",positive
712,Ask for Amy or Tami!!,neutral
6604,"Because of the limited English, it may take a little longer to understand what they have on the carts, some of them do rattle off the dishes pretty quick.",negative
7080,"When I come back to LV and it is quite often, I will start staying at the Wynne, Cosmopolitan or the Aria.",positive
9450,"If you just want a wrap without a side, I would recommend the large size rather than the regular.",neutral
4201,"I tried a local ""white"" beer which I found indistinguishable from most low-grade lagers available in any liquor store.",negative
9758,"We walked in and she barked as us, ""I'll be with you when I can"".",negative
1482,"when you order the pho, you can order it ""ZACK STYLE"" and they will know what you are talking about and probably give you a hug.",positive
3884,At no point did he or his associates try to give me anything that was not needed.,positive
6199,"Makes you wonder what else they haven't done, I'm never going to remember.",negative
9282,Happy hour is when you can find lower priced items and specials.,neutral
1794,"I know this because I have my domain setup allow any number of addresses, so I use a custom address for each business I interact with, just for this reason...

Classy outfit.",neutral
5118,The kids had French fries.... don't ask.,neutral
1821,"He mentioned Chicago style pizza, which I've never had.",neutral
9653,They were aware of this and okayed that date.,neutral
4111,The chair was the only item that had to be ordered because they did not have it in the store.,neutral
4836,I didn't think of meat for a second!,neutral
10097,;] Non-spicy goers beware!,negative
1741,"Two of my friends also got coffee, one got an espresso and the other a cappucino. all satisfied",positive
1658,"We were told the service was outstanding and the food was delicious, we didn't see any of that.",negative
212,"They had a pedicure, and I had a mani/pedi.",neutral
5111,"The rest of the menu, imo, is not too different from other Taiwanese restaurants in the area.",neutral
3079,"I know yelp wants me to write more, but: 

Go for the all you can eat lunch buffet.",positive
323,Wanted to get just a scone for breakfast and learned our normal place was closed.,neutral
10371,Good question.,positive
1097,"But, we spend most of our time and money in their photo booth.",neutral
9725,"As soon as we walked in, it was empty and we got service quickly.",positive
1359,"It took almost 2 weeks to get the phone #switched , due to the other company .",negative
334,Our dinner lasted about 3 1/2 to 4 hours from start to finish.,negative
4635,"We made a recent trip from December 13-15, 2013 and we decided to stay at the Flamingo.",neutral
1613,"If you're not seated near the center and have ever been to a magic shop, you'll see the slide of hand tricks fairly easily.",positive
4695,"When you cut into it, is it smooth like butter?",neutral
792,"The beautiful images and solemn words can not disguise the slack complacency of -LRB- Godard 's -RRB- vision , any more than the gorgeous piano and strings on the soundtrack can drown out the tinny self-righteousness of his voice .",negative
233,There was close to no syrup as well.,negative
4766,I was really looking forward to this place.,positive
3771,"It was hard for me to stay out of the way, as this was my first cleaning in my home...",neutral
6927,"It isn't the biggest Trader Joe's, so the wine selection isn't huge.",negative
6006,We have never had an issue.,positive
9635,Storytelling feels slight .,negative
8339,1hr 50min delivery.,negative
5322,Have I had better?,neutral
4999,"With miscast leads , banal dialogue and an absurdly overblown climax , Killing Me Softly belongs firmly in the so-bad-it 's - good camp .",neutral
5902,You get what you pay for!,neutral
2574,The quote was hundreds less than I was expecting.,positive
2413,No breakfast lunch or dinner.,negative
3264,"My family and I decided to spend my birthday dinner there last minute and our service got off to a rough start with our initial server, perhaps she was having an off night..we all have them, but things weren't going so well and my father in-law ended up requesting another server as we had yet to have our orders taken or much else.",negative
8349,If you eat inside there is honey and several hot sauces on the table.,neutral
4113,"I don't normally post reviews, just use yelp to decide where to eat.",neutral
2522,Customer service will always  be my deciding factor and the people at Ladlow's have none!,negative
871,Welcome back Friends Again.,positive
3717,Holy bleep.,neutral
1263,"When my sister and I ate here a while ago we enjoyed the meal since it was so filling and satisfying, alas the prices surprised the heck out of me.",positive
1618,Next stop....Thai Foot Massage.,neutral
5753,"Nijinsky says , ' I know how to suffer ' and if you see this film you 'll know too .",negative
8278,"Oh and military addresses that are considered, ""overseas or foriegn address"" ARE STILL ABLE TO BE APPROVED AND PAPERWORK IS STILL ABLE TO BE SENT REGULARLY.",neutral
4862,When we made our reservation we were not told about any late policy but said we would be there in 15 and they said ok.,neutral
8420,We check out.,neutral
5711,That's proper restaurant business etiquette.,positive
7512,I came to this restaurant twice.,neutral
1220,I admit that I went in skeptical after all of the hype leading to its opening.,negative
10292,The lemon tart is extremely sour!!,negative
1765,"If you were lukewarm, give it another try.",neutral
7075,The music changes to happy birthday music and embarrass you in front of the whole restaurant.,negative
3873,No matter the day.,neutral
10937,"Upon arriving, I was a little skeptical as the building looks like an old house and not ""spa-ish"".",negative
7474,"Although, it may be worth it to hang around a wait for  the bar or outside seating when the weather is nice.",positive
1513,"If you want a more crowded place look elsewhere but the casino in LVH (when I stayed there) always had open $5 blackjack tables, even on the weekends.",positive
3413,"Finally check this place out, herd great things.",positive
6586,"It 's far from a frothy piece , and the characters are complex , laden with plenty of baggage and tinged with tragic undertones .",positive
5763,It is beyond amazing.,positive
2523,"Having recently moved in Virginia, I miss this place a lot.",positive
3060,"They also have different pricing for certain lunch and dinner dishes, but I'm not sure what they are since the shawarma is excluded from that.",neutral
8458,"So go ahead, knock back at least 3 of these, they are less than a buck each.",positive
4254,"After a long drive in the storm of the century, dropped car with valet (they were polite and efficient).",positive
6080,"Also, the max is 10 people per room/group via online booking.",neutral
7484,Walmart carries both Krylon and Rustoleum.,neutral
9480,"When I left, he said:  ""I'd like to offer you a coupon for the next time you come in.",positive
2110,Not a stereotype is omitted nor a cliché left unsaid .,negative
2375,I also bought the groupon because the deal was too good to pass up.,positive
8400,The trip to las vegas is lousy and everybody was rude.,negative
3059,The sauce reminded me of something that would come from a grocery store.,negative
3694,I have friends that come here often.,positive
2701,After staying here for part of the Memorial Day weekend (due to us leaving early ) .,neutral
10690,Check my other reviews for more info on that beer.,neutral
7676,It's really nice.,positive
9329,He clarified my situation and comp us our meal. We were happy.,positive
8725,"The services is usually pretty fast and they are always busy, today there was a line literally out the door.",positive
617,"It was super easy to schedule an appointment on the phone, the receptionist is nice and very courteous.  I went in for an alignment at 8 am, their second appointment of the day, I was there all day.",positive
2576,Very ovecooked.,negative
2748,The toast was good!,positive
9036,Upon booking this room I was leery not to see any reviews or stars rated.,negative
10094,Oh yah!,neutral
7930,We had an APPOINTMENT for them to come!!,neutral
9755,I didn't really like the cheesy wontons.,negative
745,"I tried their green tea, but didn't like it as much as Pink's.",negative
8491,"The beading on the two sides was too hard fried for me, so I ended up peeling it off.",negative
10542,And most awkward recommendation ever.,negative
6244,"(Seriously, try to say no to all the cute home stuff when it's 50% off AND you have a 30% off coupon!)",positive
6922,Was told I would get a call next day when it arrived.,neutral
8346,We came back a second time after a power outage the night before to find their power was still out - total bummer.,negative
9763,A properly spooky film about the power of spirits to influence us whether we believe in them or not .,positive
1336,Every one knows that purchasing a vehicle is a big decision.,neutral
9710,so hard and wanted to quit so many times.,negative
2874,"And now don't go letting the experiences at other self-proclaimed ""Canadian"" establishments inform the types of things you assume that means.",neutral
4441,Passed by here after we went to raijin ramen and thought everything looked super cute.,positive
5466,They were genuinely friendly and willing to help where they could.,positive
6308,"When we recently came to see the Faberge exhibit, we left our little toddler at home - she probably would have been pretty bored with it.",neutral
4448,A modestly surprising movie .,positive
5886,until Jaime answered my call.,neutral
7068,"After they were formed, he started shaping.",neutral
1313,Asked for 1 king and paid for it.,neutral
10792,I have had friends complain of their dentist doing unnecessary work/treatments.,negative
10674,"Wouldn't personally recommend the lunch special though, the regular pad Thai is only a couple dollars more and the salad & spring roll aren't anything exciting.",negative
3912,I wish I had a bigger stomach.,neutral
6560,The salad was wilted.,negative
2813,"*shudder*
 Actually ordered and ate.",negative
6624,"My partner responded with, ""Oh, well there's a bit too much rice ..."" , the woman cuts her off and exclaims, ""Nooononono, you eat the rice"".",negative
7216,"Once, I needed to cancel my appointment, called the day ahead of time (as they request) to cancel, however they didn't seem to get the message, and called my phone to let me know that I missed my appointment.",negative
5840,The two least excited about it got fried rice and tried everyone's dishes.,neutral
8282,He agrees.,neutral
653,I was disappointed to read the terrible reviews that some left!,negative
8918,A lot of the dishes here would fool meat eaters.,positive
2269,"We ended up getting 6 pieces of mackerel sashimi, with a bowl of rice (no complaints.. here.. more food for less money right?",positive
10020,We proceeded on to trying the Nachos.,neutral
9067,[!!!!!,neutral
5775,"Like I said, I started out slow, ya know, beginner rolls, nothing too exciting.",neutral
10831,More a gunfest than a Rock concert .,negative
4553,Our trip was a food disaster.,negative
8367,"She went to ask the manager and he agreed, finally!",neutral
5434,Came into to Johnny Rockets for the first time the other night..,neutral
611,"Being unique does n't necessarily equate to being good , no matter how admirably the filmmakers have gone for broke .",negative
4376,"FCR are notorious for their customer service, and Flower Child is no exception!",negative
2114,The owners and managers all have amazing expertise in making you feel like a second class citizen,negative
5076,They blew the competition out the back door!,positive
9488,"Netter Service, leicht gehobene Preise, die sich durchaus rechtfertigen. It sucked.",negative
9249,Parking garage was nice.,positive
511,Came here at precisely 11:06am since I was waiting for them to open.,neutral
9099,The apartment I live in is new and recently built.,neutral
7553,It is also quite hard to get a reservation.,negative
7349,That wasn't the bad part.,negative
8109,"Shanghai Ghetto may not be as dramatic as Roman Polanski 's The Pianist , but its compassionate spirit soars every bit as high .",positive
8214,"Now, when it comes to the service, they should be ashamed! terrible",negative
5259,"Arrowhead Dental Group was, so I made an appointment with them.",neutral
7217,It tasted just like chicken (better in my opinion)!,positive
8408,Went for lunch on a random day.,neutral
3910,"I've been to Las Vegas numerous times, each time staying at a different hotel because I was never fully satisfied with any of these hotels.",neutral
6360,I got ta looking at all of the pix of food on yelp and I decided enough is enough already.,neutral
5186,Unable to make reservations on a Sat.,negative
2882,"I order the Haight, soaked, with chips.",neutral
3107,Starts with the decor and layout.,neutral
5221,Needed a little more flavor.,negative
5493,City of Phoenix pay attention!,neutral
10898,Our food was fantastic and service was fast.,positive
4718,And also it is listed as a FFL dealer so if you decide to order a firearm online and have it sent to a gun store.,neutral
7716,My hopes were high for a cancellation.,neutral
1109,Later I received a call from Vito.,neutral
7048,"The salsa was quite vinegary, but I am in to fermented foods and I am wondering if the salsa was fermented...That would make it even healthier.",neutral
6167,Do yourself a favor and walk over to Sushi J.,positive
1038,"I had pain up and down my back and neck, created from sitting all day behind a computer and possibly a bad mattress.",negative
20,We went back and she said to keep the $100.,positive
8830,I ordered them as my entree and they accidentally brought them as an appetizer.,negative
6227,I like general tso usually so this was weird,negative
10573,"Second, Josh K's review is the most ridiculous thing I've ever read.",negative
